GeneID	206014020-W-Milk	206014056-W-Milk	208013840-W-Milk	208024121-W-Milk	810049338-W-Milk	810049344-W-Milk	811035548-W-Milk	811035585-W-Milk	811035588-W-Milk	812007775-W-Milk	812027644-W-Milk	812027654-W-Milk	207016597-W2-Milk	208000940-W2-Milk	208000943-W2-Milk	208000985-W2-Milk	208001021-W2-Milk	209021318-W2-Milk	209021321-W2-Milk	210004788-W2-Milk	210004789-W2-Milk	210004794-W2-Milk	210004803-W2-Milk	210004816-W2-Milk	b1	b2	b3	207016597-W2-Blood	208000916-W2-Blood	208000940-W2-Blood	208000943-W2-Blood	208000985-W2-Blood	208001021-W2-Blood	209021318-W2-Blood	209021321-W2-Blood	210004788-W2-Blood
ENSBTAG00000024632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024633	0	4	4	0	0	0	3	4	0	1	1	3	1	2	2	4	0	0	0	2	0	4	1	1	50	27	78	7	1	2	1	0	3	2	5	2
ENSBTAG00000024639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024641	2	6	2	0	0	0	2	1	0	1	2	0	0	0	1	0	0	1	1	10	0	0	0	0	60	36	96	5	2	0	1	1	1	1	1	0
ENSBTAG00000024643	0	0	0	3	3	0	0	1	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSBTAG00000024648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024657	7	22	9	7	3	3	7	3	1	8	3	1	1	13	4	7	1	3	4	8	0	4	4	8	235	221	293	13	9	10	3	0	9	11	7	1
ENSBTAG00000024659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024663	4	0	5	7	4	3	0	2	0	3	0	1	0	1	2	0	1	0	3	9	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024675	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	70	65	0	0	0	0	0	0	0	0	0
ENSBTAG00000024683	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024688	5	13	0	0	0	0	1	1	1	4	2	6	2	0	3	2	5	0	0	24	2	4	2	2	463	471	671	9	4	7	3	0	2	2	2	2
ENSBTAG00000024691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024700	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024701	3	2	0	5	0	3	0	5	4	2	11	2	0	0	2	3	8	2	2	2	3	2	3	3	40	17	39	0	0	0	0	0	1	1	1	0
ENSBTAG00000024708	1	6	12	3	2	1	0	0	2	7	0	0	0	2	1	2	0	3	0	3	2	4	4	1	107	65	172	9	3	1	0	1	3	5	3	1
ENSBTAG00000024713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024715	3	12	4	5	0	0	13	1	0	2	2	0	7	6	8	7	11	6	3	3	0	10	2	1	569	538	886	9	3	2	1	0	5	4	2	2
ENSBTAG00000024723	21	21	15	17	10	19	8	4	2	7	22	6	19	7	12	2	0	5	2	33	1	9	5	5	445	394	474	14	4	4	1	0	10	17	5	3
ENSBTAG00000024726	3	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	2	1	1	14	3	20	2	0	0	0	0	0	1	0	0
ENSBTAG00000024731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024756	2	1	1	2	5	0	0	1	0	3	0	1	0	5	2	2	2	1	0	1	0	0	0	1	12	7	26	0	0	0	0	0	0	0	0	0
ENSBTAG00000024765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024772	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
ENSBTAG00000024773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024781	5	4	5	20	2	3	5	2	5	4	8	3	15	8	3	3	1	1	2	15	9	13	0	1	190	95	209	3	0	0	0	0	3	8	0	0
ENSBTAG00000024787	0	1	0	4	0	0	0	1	3	0	2	1	4	0	1	3	0	4	0	2	0	0	0	0	197	319	230	2	0	0	0	1	0	2	4	1
ENSBTAG00000024788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024803	8	13	5	0	0	1	4	0	0	2	2	0	7	3	1	4	7	1	1	7	0	3	0	2	975	982	1458	10	2	3	1	0	11	6	3	4
ENSBTAG00000024806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000024809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	8	0	0	0	0	0	0	0	0	0
